run_idx,known_users,unknown_users,overall_accuracy,balanced_accuracy,FRR,FAR,ROC_AUC,n_known_samples,n_unknown_samples,n_test_windows
188,user6;user7;user10,user12;user3;user2;user5,0.8285714285714286,0.8750000000000001,0.08888888888888889,0.23333333333333334,0.8951851851851852,45,60,105
189,user6;user7;user11,user3;user5;user9;user8,0.9047619047619048,0.8333333333333333,0.2222222222222222,0.0,1.0,45,60,105
190,user6;user7;user12,user1;user3;user9;user4,0.8666666666666667,0.8541666666666666,0.15555555555555556,0.11666666666666667,0.947037037037037,45,60,105
191,user6;user8;user9,user5;user2;user11;user1,0.819047619047619,0.8708333333333333,0.08888888888888889,0.25,0.9196296296296296,45,60,105
192,user6;user8;user10,user3;user4;user9;user11,0.8,0.875,0.06666666666666667,0.3,0.9007407407407407,45,60,105
193,user6;user8;user11,user7;user5;user9;user1,0.9333333333333333,0.9333333333333333,0.06666666666666667,0.06666666666666667,0.9770370370370371,45,60,105
194,user6;user8;user12,user7;user1;user2;user10,0.9523809523809523,0.9166666666666667,0.1111111111111111,0.0,0.9837037037037037,45,60,105
195,user6;user9;user10,user7;user11;user12;user3,0.7714285714285715,0.8374999999999999,0.06666666666666667,0.31666666666666665,0.9796296296296296,45,60,105
196,user6;user9;user11,user10;user3;user2;user4,0.8380952380952381,0.8666666666666667,0.1111111111111111,0.2,0.8837037037037037,45,60,105
197,user6;user9;user12,user7;user2;user4;user11,0.9047619047619048,0.8583333333333334,0.17777777777777778,0.03333333333333333,0.9496296296296297,45,60,105
